;TAZID,CO_TAZID,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,CO_NAME
1,30001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66905.0,0.0,0.0,0.0,3,BOX ELDER
2,30002,38.5,184.6,4.794805194805194,0.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,2.0,66905.0,0.0,0.0,0.0,3,BOX ELDER
3,30003,18.5,65.7,3.5513513513513515,0.0,0.0,0.0,0.0,2.8999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.0,51492.0,0.0,0.0,0.0,3,BOX ELDER
4,30004,5.3,14.5,2.7358490566037736,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.3,51492.0,0.0,0.0,0.0,3,BOX ELDER
5,30005,70.5,170.1,2.4127659574468083,10.1,1.3000000000000005,2.1000000000000005,6.699999999999999,20.4,0.8000000000000002,0.5,1.6000000000000003,0.5,0.4000000000000001,0.9,3.5,1.9,0.0,0.0,6.599999999999999,3.7000000000000006,68948.0,0.0,0.0,0.0,3,BOX ELDER
6,30006,8.6,22.8,2.6511627906976747,4.4,0.0,4.4,0.0,6.8,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.5,51492.0,0.0,0.0,0.0,3,BOX ELDER
7,30007,44.0,102.5,2.3295454545454546,63.8,8.5,24.1,31.2,159.10000000000002,5.7,2.7999999999999994,9.0,15.1,2.1,5.3,4.8,19.0,93.0,0.0,0.0,2.3,51492.0,0.0,0.0,0.0,3,BOX ELDER
8,30008,53.20000000000001,142.9,2.6860902255639094,44.7,13.2,0.7000000000000001,30.8,50.29999999999999,13.0,0.2,0.5,0.2,28.0,0.3,0.3,2.2,0.0,0.0,2.7999999999999994,2.7999999999999994,71055.0,0.0,0.0,0.0,3,BOX ELDER
9,30009,37.1,44.4,1.196765498652291,71.4,4.6,52.2,14.6,80.99999999999999,2.7999999999999994,1.8,5.8,46.4,1.3,3.4,3.1,6.8,0.0,0.0,7.599999999999999,2.0,51492.0,0.0,0.0,0.0,3,BOX ELDER
10,30010,19.7,54.29999999999999,2.7563451776649743,52.6,0.0,52.6,0.0,54.5,0.0,0.0,0.0,52.6,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,51492.0,0.0,0.0,0.0,3,BOX ELDER
11,30011,8.3,20.1,2.421686746987952,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.4000000000000001,71342.0,0.0,0.0,0.0,3,BOX ELDER
12,30012,21.399999999999995,61.4,2.869158878504673,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7999999999999994,1.1,71342.0,0.0,0.0,0.0,3,BOX ELDER
13,30013,14.4,34.7,2.4097222222222223,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.8000000000000002,71342.0,0.0,0.0,0.0,3,BOX ELDER
14,30014,24.7,59.29999999999999,2.40080971659919,0.0,0.0,0.0,0.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,1.3,71342.0,0.0,0.0,0.0,3,BOX ELDER
15,30015,1.0,2.4,2.4,321.3,27.5,199.1,94.7,343.40000000000003,16.7,10.800000000000002,119.7,79.4,7.8,20.3,18.1,48.5,21.1,0.0,0.9,0.1,66905.0,0.0,0.0,0.0,3,BOX ELDER
16,30016,87.40000000000002,217.30000000000004,2.486270022883295,66.89999999999999,0.0,36.0,30.899999999999995,101.7,0.0,0.0,0.5,35.5,0.0,0.0,0.0,30.899999999999995,0.0,0.0,30.2,4.6,68948.0,0.0,0.0,0.0,3,BOX ELDER
17,30017,254.5,1277.4,5.0192534381139495,0.0,0.0,0.0,0.0,138.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.7,13.5,71342.0,0.0,0.0,0.0,3,BOX ELDER
18,30018,0.0,0.0,0.0,829.7,63.9,564.7,201.1,831.6,38.9,25.0,441.1000000000001,123.59999999999998,18.1,47.20000000000001,42.0,93.8,0.0,0.0,1.9,0.0,71342.0,0.0,0.0,0.0,3,BOX ELDER
19,30019,207.4,626.0,3.018322082931533,52.5,19.8,14.0,18.7,79.6,17.5,2.3,7.400000000000001,6.599999999999999,1.7,4.4,3.9,8.7,0.0,0.0,16.1,11.0,68948.0,0.0,0.0,0.0,3,BOX ELDER
20,30020,195.6,413.8,2.115541922290389,151.0,29.100000000000005,32.5,89.4,178.3,21.600000000000005,7.5,23.7,8.8,5.400000000000001,14.0,12.6,57.4,0.0,0.0,17.0,10.3,79483.0,0.0,0.0,0.0,3,BOX ELDER
21,30021,82.4,205.30000000000004,2.4915048543689324,475.8,28.200000000000003,358.5,89.1,513.3000000000001,17.1,11.1,331.0,27.5,8.0,20.9,18.6,41.6,0.0,0.0,33.1,4.4,68948.0,0.0,0.0,0.0,3,BOX ELDER
22,30022,91.90000000000002,228.5,2.4863982589771485,121.7,19.5,38.8,63.400000000000006,156.79999999999998,11.6,7.900000000000001,30.8,8.0,5.8,14.5,13.800000000000002,29.3,0.0,0.0,30.2,4.9,68948.0,0.0,0.0,0.0,3,BOX ELDER
23,30023,77.8,311.9,4.0089974293059125,187.9,27.4,72.5,88.0,209.9,16.4,11.0,49.0,23.5,8.0,20.4,18.6,41.0,0.0,0.0,17.9,4.1,68948.0,0.0,0.0,0.0,3,BOX ELDER
24,30024,149.1,533.7,3.5794768611670023,16.3,2.5,4.200000000000001,9.6,40.3,1.5,1.0,3.2000000000000006,1.0,0.8000000000000002,1.9,3.1,3.8,0.0,0.0,16.1,7.900000000000001,68948.0,0.0,0.0,0.0,3,BOX ELDER
25,30025,300.0,730.5,2.435,161.7,9.7,11.0,141.0,177.60000000000002,7.2,2.5,8.1,2.9,1.8,106.5,20.4,12.300000000000002,0.0,0.0,0.0,15.9,61738.0,0.0,0.0,0.0,3,BOX ELDER
26,30026,183.0,279.7,1.528415300546448,183.1,14.699999999999998,15.7,152.7,192.79999999999995,13.699999999999998,1.0,8.5,7.2,0.6999999999999998,43.29999999999999,86.0,22.7,0.0,0.0,0.0,9.7,54266.0,0.0,0.0,0.0,3,BOX ELDER
