Purpose,Period,AccessMode,SegID,Direction,SegID_Dir,Mode,Name,LongName,RouteDir,LinkSeq,Headway,Board,Board_FromSkim_LCL,Board_FromSkim_COR,Board_FromSkim_BRT,Board_FromSkim_EXP,Board_FromSkim_LRT,Board_FromSkim_CRT,Alight,Alight_FromSkim_LCL,Alight_FromSkim_COR,Alight_FromSkim_BRT,Alight_FromSkim_EXP,Alight_FromSkim_LRT,Alight_FromSkim_CRT
All,ok,drive,0178_000.2,EB,0178_000.2_EB,      4.00,M821_Psn,M821_Psn,      1.00,      1.00,     30.00,      2.65,      2.65,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0198_005.3,EB,0198_005.3_EB,      4.00,M821_Psn,M821_Psn,      1.00,     12.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,0198_005.4,EB,0198_005.4_EB,      4.00,M821_Psn,M821_Psn,      1.00,     14.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.03,      0.03,         0,         0,         0,         0,         0
All,ok,drive,0198_005.9,EB,0198_005.9_EB,      4.00,M821_Psn,M821_Psn,      1.00,     15.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,0198_006.3,EB,0198_006.3_EB,      4.00,M821_Psn,M821_Psn,      1.00,     21.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.20,      0.20,         0,         0,         0,         0,         0
All,ok,drive,0198_007.6,EB,0198_007.6_EB,      4.00,M821_Psn,M821_Psn,      1.00,     24.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0
All,ok,drive,0198_008.7,EB,0198_008.7_EB,      4.00,M821_Psn,M821_Psn,      1.00,     28.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.12,      0.12,         0,         0,         0,         0,         0
All,ok,drive,0198_009.1,NB,0198_009.1_NB,      4.00,M821_Psn,M821_Psn,      1.00,     31.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0
All,ok,drive,0198_009.5,NB,0198_009.5_NB,      4.00,M821_Psn,M821_Psn,      1.00,     32.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.17,      0.17,         0,         0,         0,         0,         0
All,ok,drive,0198_011.81,NB,0198_011.81_NB,      4.00,M821_Psn,M821_Psn,      1.00,     41.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.14,      0.14,         0,         0,         0,         0,         0
