Purpose,Period,AccessMode,SegID,Direction,SegID_Dir,Mode,Name,LongName,RouteDir,LinkSeq,Headway,Board,Board_FromSkim_LCL,Board_FromSkim_COR,Board_FromSkim_BRT,Board_FromSkim_EXP,Board_FromSkim_LRT,Board_FromSkim_CRT,Alight,Alight_FromSkim_LCL,Alight_FromSkim_COR,Alight_FromSkim_BRT,Alight_FromSkim_EXP,Alight_FromSkim_LRT,Alight_FromSkim_CRT
All,ok,drive,UTA_2014,EB,UTA_2014_EB,      4.00,1300So,1300 South,      1.00,     18.00,     15.00,      0.58,      0.51,         0,         0,         0,      0.07,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2290_008.4,EB,2290_008.4_EB,      4.00,1300So,1300 South,      1.00,     32.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0
All,ok,drive,2290_008.7,EB,2290_008.7_EB,      4.00,1300So,1300 South,      1.00,     34.00,     15.00,      0.01,         0,      0.01,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0
All,ok,drive,2290_009.0,EB,2290_009.0_EB,      4.00,1300So,1300 South,      1.00,     36.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0
All,ok,drive,2290_009.3,EB,2290_009.3_EB,      4.00,1300So,1300 South,      1.00,     40.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.33,      0.26,      0.01,         0,         0,      0.06,         0
All,ok,drive,2290_009.9,EB,2290_009.9_EB,      4.00,1300So,1300 South,      1.00,     42.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.19,      0.19,         0,         0,         0,         0,         0
All,ok,drive,2290_009.9,WB,2290_009.9_WB,      4.00,1300So,1300 South,      2.00,      1.00,     15.00,      0.01,      0.01,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2290_009.0,WB,2290_009.0_WB,      4.00,1300So,1300 South,      2.00,      6.00,     15.00,      0.01,      0.01,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2290_007.1,WB,2290_007.1_WB,      4.00,1300So,1300 South,      2.00,     20.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,UTA_2014,EB,UTA_2014_EB,      4.00,1300So,1300 South,      2.00,     26.00,     15.00,      0.18,      0.18,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2290_004.6,WB,2290_004.6_WB,      4.00,1300So,1300 South,      2.00,     42.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.18,      0.18,         0,         0,         0,         0,         0
All,ok,drive,undefined,EB,undefined,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      1.00,      1.00,     15.00,      5.66,      5.22,         0,         0,         0,      0.44,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2071_002.8,EB,2071_002.8_EB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      1.00,      5.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.03,         0,         0,         0,         0,      0.03,         0
